analysis_type,month,income,expenses,net_cash_flow,savings_rate_pct,expense_to_income_pct,status,avg_monthly_income,avg_monthly_expenses,avg_net_cash_flow,avg_savings_rate_pct,avg_expense_to_income_pct,positive_cash_flow_months,negative_cash_flow_months,cash_flow_health,category,total_spent,percent_of_income,is_significant,direction,avg_monthly_change_pct,start_month,end_month,start_cash_flow,end_cash_flow
monthly_cash_flow,2016-01,49218.9,49294.71,-75.81,-0.15,100.15,Negative,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-02,24727.49,23658.86,1068.63,4.32,95.68,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-03,59506.11,38050.0,21456.11,36.06,63.94,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-04,57446.94,48600.0,8846.94,15.4,84.6,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-05,72805.14,57697.01,15108.13,20.75,79.25,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-06,78246.26,9279.0,68967.26,88.14,11.86,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-07,66825.56,38834.0,27991.56,41.89,58.11,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-08,57119.01,57984.73,-865.72,-1.52,101.52,Negative,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-09,84955.99,50636.0,34319.99,40.4,59.6,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2016-10,29599.88,4500.0,25099.88,84.8,15.2,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2018-06,52941.14,11445.0,41496.14,78.38,21.62,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2018-07,100551.98,40414.0,60137.98,59.81,40.19,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2018-08,40325.3,0.0,40325.3,100.0,0.0,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2018-09,59523.37,15802.0,43721.37,73.45,26.55,Positive,,,,,,,,,,,,,,,,,,
monthly_cash_flow,2018-10,40057.0,10060.0,29997.0,74.89,25.11,Positive,,,,,,,,,,,,,,,,,,
overall_cash_flow,,,,,,,,58256.67,30417.02,27839.65,47.77,52.23,13.0,2.0,Excellent,,,,,,,,,,
expense_breakdown,,,,,,,,,,,,,,,,Expense (other),231226.0,26.46,Yes,,,,,,
expense_breakdown,,,,,,,,,,,,,,,,Expense (retail),109008.0,12.47,No,,,,,,
expense_breakdown,,,,,,,,,,,,,,,,Expense (utilities),58501.31,6.69,No,,,,,,
expense_breakdown,,,,,,,,,,,,,,,,Expense (loan),57520.0,6.58,No,,,,,,
expense_breakdown,,,,,,,,,,,,,,,,Income,0.0,0.0,No,,,,,,
cash_flow_trend,,,,,,,,,,,,,,,,,,,,worsening,-245.19,2016-01,2018-10,-75.81,29997.0
