month,income,expenses,net_cash_flow,status
2016-01,49218.9,49294.71,-75.81,Negative
2016-02,24727.49,23658.86,1068.63,Positive
2016-03,59506.11,38050.0,21456.11,Positive
2016-04,57446.94,48600.0,8846.94,Positive
2016-05,72805.14,57697.01,15108.13,Positive
2016-06,78246.26,9279.0,68967.26,Positive
2016-07,66825.56,38834.0,27991.56,Positive
2016-08,57119.01,57984.73,-865.72,Negative
2016-09,84955.99,50636.0,34319.99,Positive
2016-10,29599.88,4500.0,25099.88,Positive
2018-06,52941.14,11445.0,41496.14,Positive
2018-07,100551.98,40414.0,60137.98,Positive
2018-08,40325.3,0.0,40325.3,Positive
2018-09,59523.37,15802.0,43721.37,Positive
2018-10,40057.0,10060.0,29997.0,Positive
